41
2911	1912	2325	1360	1493	1606	1432	1387	855	871	565	185	9.99999e+008	1399	2190	1759	2670	1817	1719	1474	1906	2750	2513	3692	6300	7757	1167	1226	1363	975	1527	2026	2593	4087	4114	7704	7547	1291	4609	7827	4214	
3717	2718	3131	2166	2299	2412	2239	2194	1661	1677	1371	991	1127	9.99999e+008	1357	2565	3476	2623	2525	2280	2712	3556	3319	4498	7106	8563	1973	2032	2169	538	753	2832	3399	4893	4920	8510	6148	464	5415	7709	5020	
2746	1840	3052	2828	3002	3381	3510	3158	2933	2949	2643	2263	2078	1331	9.99999e+008	3837	4748	3895	3797	3552	3984	4828	4334	5690	8298	9755	3245	3304	3441	1511	1051	4104	4671	4460	6192	9436	7197	1436	4951	6682	4291	
2932	2074	2340	1374	1514	1613	1439	1405	919	827	1218	1635	1622	2493	3457	9.99999e+008	1284	1337	1234	1482	1910	2267	2517	3647	5230	6791	1503	1421	887	2229	2794	2034	2111	4108	2832	6422	8456	2557	4630	7844	4231	
2546	2620	1526	1931	1547	1242	1078	1281	1450	1376	1767	2184	2171	3042	4006	909	9.99999e+008	550	851	1094	1101	1455	1505	2797	4607	5943	1379	1060	919	2778	3343	1220	1299	3135	1984	5574	9190	3106	3731	6874	3261	
2432	2087	1429	1399	1014	702	528	731	919	1094	1363	1778	1766	2638	3602	851	1276	9.99999e+008	324	570	1000	1357	1607	2741	5350	6728	829	510	388	2374	2939	1122	1201	3222	2769	6359	8786	2702	3790	6933	3320	
2327	2193	1307	1505	1120	1024	634	835	1027	1342	1471	1886	1874	2746	3710	1377	953	526	9.99999e+008	674	676	1033	1283	2417	5026	6404	933	612	914	2482	3047	839	877	2916	2445	6035	8894	2810	3512	6655	3042	
2045	1950	869	1262	877	558	393	594	1162	1479	1247	1664	1651	2881	3486	1600	1196	769	647	9.99999e+008	433	1276	1040	2218	4826	6283	692	752	1136	2617	2823	552	1120	2673	2644	6234	9029	2586	3230	6373	2760	
2390	2478	1368	1790	1405	1086	1186	1389	1596	1912	2040	2455	2443	3315	4014	2057	1148	1165	1080	1244	9.99999e+008	843	607	1786	4395	5852	1487	1181	1553	3051	3351	436	687	2411	2211	5801	9463	3114	2933	6717	3104	
2600	2695	1579	2007	1615	1296	1136	1338	1529	1845	1973	2388	2376	3248	4212	1950	1080	1098	1013	1176	727	9.99999e+008	789	1907	4514	5850	1436	1114	1486	2984	3549	369	367	2593	1891	5481	9396	3312	3115	6927	3314	
2646	2762	1624	2073	1918	1600	1442	1645	2018	2334	2297	2713	2701	3737	4400	2443	1617	1587	1502	1666	739	546	9.99999e+008	1378	3986	5443	1743	1603	1975	3473	3790	858	906	1804	2300	5588	9885	3628	2326	6973	3360	
4186	4301	3165	3613	3201	2882	2723	2924	3115	3431	3559	3974	3962	4834	5798	2861	2087	2637	2599	2763	2314	1611	1879	9.99999e+008	3856	5192	3022	2700	3006	4570	5135	1955	1457	2932	1233	4823	10919	4898	3454	7994	4402	
5271	5596	4487	4907	4524	4205	4326	4528	4719	4854	5163	5578	5566	6438	7133	4387	3478	4028	4203	4366	3859	3190	3681	1859	9.99999e+008	4400	4626	4304	4397	6174	6470	3559	3316	3927	1939	3516	12586	6233	4820	8951	5361	
7292	7617	6508	6928	6545	6227	6347	6549	6740	6766	7157	7574	7561	8432	9154	6030	5390	5940	6224	6387	5881	5211	5702	3830	3449	9.99999e+008	6647	6325	6309	8168	8491	5580	5287	5948	4598	145	14486	8254	6841	10195	7382	
2490	2145	1657	1456	1072	930	756	959	975	1151	1419	1834	1822	2694	3658	908	1505	655	552	800	1228	1585	1835	2969	5570	6906	9.99999e+008	60	444	2430	2995	1352	1429	3450	2947	6537	8842	2758	4018	7161	3548	
2430	2085	1598	1397	1012	871	697	900	916	1091	1360	1775	1763	2635	3599	848	1445	596	493	740	1168	1526	1775	2910	5512	6848	998	9.99999e+008	385	2371	2936	1292	1370	3391	2889	6479	8783	2699	3959	7102	3489	
2046	1701	1460	1012	628	1204	998	1124	531	707	975	1390	1378	2250	3214	832	1746	896	795	1041	1471	1828	2078	3212	5813	7149	1222	1281	9.99999e+008	1986	2551	1593	1672	3222	3190	6780	8398	2314	3744	6962	3349	
3193	2198	2609	1638	1777	1893	2021	1669	1444	1460	1154	774	589	1479	1473	2348	3259	2406	2308	2063	2495	3338	2845	4223	6831	8288	1756	1815	1952	9.99999e+008	810	2615	3182	4371	4703	8293	7158	573	4893	7181	4498	
3203	2261	2691	2078	2235	2353	2481	2128	1904	1920	1614	1234	1048	1279	1012	2807	3718	2865	2767	2522	2954	3797	3305	4683	7291	8748	2215	2274	2411	459	9.99999e+008	3074	3641	4453	5162	8752	6970	385	4975	7221	4580	
2231	2319	1210	1631	1246	927	768	969	1160	1476	1604	2019	2007	2879	3843	1580	1156	729	644	808	359	1202	966	2145	4754	6211	1067	745	1117	2615	3180	9.99999e+008	1046	2770	2570	6160	9027	2943	3292	6558	2945	
2756	2844	1735	2156	1771	1452	1292	1494	1685	2001	2129	2544	2532	3404	4368	2105	1234	1254	1169	1332	858	156	422	1600	4208	5665	1592	1270	1642	3140	3705	525	9.99999e+008	2226	2046	5636	9552	3468	2748	7083	3470	
2364	2454	2515	2947	3035	2718	2868	3042	3571	3916	3663	4080	4075	5290	4128	4047	3311	3248	3124	2882	2728	2231	1989	2219	5100	7100	3140	3199	3584	4713	4253	2530	2593	9.99999e+008	3141	6331	11223	4638	893	5877	2522	
4305	4603	3509	3914	3530	3225	3061	3264	3433	3359	3750	4167	4154	5025	5989	2623	1983	2533	2834	3077	2894	2224	2715	843	2623	3959	3362	3043	2902	4761	5326	2593	2300	2961	9.99999e+008	3590	11079	5089	3854	7986	4395	
7533	7858	6750	7170	6787	6468	6589	6791	6982	7007	7398	7815	7802	8673	9395	6272	5631	6181	6466	6629	6122	5453	5943	4072	4271	983	6889	6567	6550	8409	8732	5822	5529	6190	4839	9.99999e+008	14728	8496	7083	10656	7624	
9485	8486	8899	7934	8067	8180	8007	7961	7429	7445	7139	6759	6894	5768	6791	8333	9244	8391	8293	8048	8480	9323	9087	10266	12874	14331	7741	7800	7937	6305	6521	8600	9167	10661	10688	14278	9.99999e+008	6231	11183	12995	10788	
3267	2272	2683	1712	1851	1967	2095	1743	1518	1534	1228	848	663	1302	1547	2422	3333	2480	2382	2137	2569	3412	2919	4297	6905	8362	1830	1889	2026	74	653	2689	3256	4445	4777	8367	6981	9.99999e+008	4967	7255	4572	
2110	3079	2789	3560	3647	3330	3481	3655	4184	4564	4276	4695	4688	5903	4753	4661	4427	3838	3737	3496	3665	3782	3540	3770	6349	7683	3753	3813	4197	5338	4878	3784	4144	1551	4692	7828	11848	5263	9.99999e+008	4984	2026	
4960	5879	5639	6410	6497	6180	6331	6505	7034	7385	7126	7545	7538	8270	7244	7511	7144	6688	6587	6346	6381	7224	6729	7099	9674	9321	6603	6663	7047	8138	7678	6500	7068	5864	8332	9466	13810	8063	5272	9.99999e+008	4091	
1666	1788	2345	2821	2950	2886	3037	3211	3338	3790	3430	3455	3449	4793	3462	3916	3946	3394	3293	3052	3183	4026	3531	3901	6471	7928	3309	3369	3753	4047	3587	3302	3870	2667	5134	7559	10557	3972	2087	4258	9.99999e+008	

